Appendix C,,,,,,,,,,,,,,,,,,,,
,mideastpolitics,xwindows,politics,motorcycles,cryptology,mac,space,graphics,electronics,christianity,hockey,forsale,pc,medicine,guns,autos,mswindows,atheism,baseball,religion
mideastpolitics,330,0,15,1,5,1,0,1,0,1,2,2,0,0,6,1,0,9,1,1
xwindows,0,290,0,0,2,3,3,62,0,0,0,3,10,1,1,0,17,0,0,0
politics,3,0,176,0,3,2,10,2,1,0,0,0,0,1,105,1,0,4,0,2
motorcycles,0,0,1,381,0,0,1,0,1,0,0,3,0,0,0,9,0,0,2,0
cryptology,0,1,1,0,375,2,0,4,1,0,0,2,1,1,5,1,2,0,0,0
mac,0,0,0,0,2,301,4,11,13,0,0,8,25,3,1,3,13,0,1,0
space,1,2,4,0,2,1,365,11,4,0,0,0,0,3,0,0,0,1,0,0
graphics,0,11,0,0,10,8,7,332,4,0,1,3,9,0,0,0,4,0,0,0
electronics,0,1,0,5,20,5,2,19,272,0,0,14,37,4,0,3,10,1,0,0
christianity,0,1,1,1,1,1,3,3,0,361,2,2,0,4,2,0,1,8,0,7
hockey,0,0,1,0,1,0,2,0,1,0,388,2,0,1,0,0,0,1,2,0
forsale,0,0,1,3,0,9,1,2,5,0,1,321,34,1,0,8,3,0,1,0
pc,0,0,0,0,1,22,1,10,20,0,1,8,304,0,0,1,24,0,0,0
medicine,2,0,6,1,0,2,4,7,5,2,0,3,3,349,6,3,0,3,0,0
guns,1,1,7,1,5,0,2,1,0,0,0,1,0,2,339,0,0,0,0,4
autos,0,0,3,9,1,0,2,2,7,0,1,12,0,0,1,354,1,0,1,1
mswindows,0,14,4,0,1,11,4,34,1,0,2,5,46,0,0,0,266,0,2,4
atheism,5,1,3,3,1,0,5,0,1,19,1,0,0,3,7,0,0,245,0,25
baseball,1,2,1,0,1,0,1,1,0,1,14,8,0,0,0,0,1,1,365,0
religion,3,0,6,0,0,0,6,4,0,34,0,0,0,3,20,0,1,39,0,135
